id,datetime,title,hazard_codes,primary_country,collection
glide-event-FL-2016-000075-BGD,2016-08-01T00:00:00Z,,nat-hyd-flo-flo;FL,BGD,glide-events
glide-event-FL-2016-000077-BTN,2016-07-21T00:00:00Z,,nat-hyd-flo-flo;FL,BTN,glide-events
glide-event-FL-2016-000068-NPL,2016-07-06T00:00:00Z,,nat-hyd-flo-flo;FL,NPL,glide-events
glide-event-FL-2016-000066-PAK,2016-07-02T00:00:00Z,,nat-hyd-flo-flo;FL,PAK,glide-events
glide-event-FL-2016-000058-MMR,2016-06-09T00:00:00Z,,nat-hyd-flo-flo;FL,MMR,glide-events
glide-event-FL-2016-000060-IND,2016-06-08T00:00:00Z,,nat-hyd-flo-flo;FL,IND,glide-events
glide-event-FL-2016-000050-LKA,2016-05-15T00:00:00Z,,nat-hyd-flo-flo;FL,LKA,glide-events
glide-event-FL-2016-000021-PAK,2016-03-21T00:00:00Z,,nat-hyd-flo-flo;FL,PAK,glide-events
emdat-event-2017-0516-THA,2017-11-25T00:00:00Z,Riverine flood in Thailand,nat-hyd-flo-riv,THA,emdat-events
emdat-event-2017-0494-IDN,2017-11-03T00:00:00Z,Flood (General) in Indonesia,nat-hyd-flo-flo,IDN,emdat-events
emdat-event-2017-0493-LKA,2017-11-03T00:00:00Z,Flood (General) in Sri Lanka,nat-hyd-flo-flo,LKA,emdat-events
emdat-event-2017-0477-MYS,2017-11-03T00:00:00Z,Flood (General) in Malaysia,nat-hyd-flo-flo,MYS,emdat-events
emdat-event-2017-0495-IND,2017-10-30T00:00:00Z,Flash flood in India,nat-hyd-flo-fla,IND,emdat-events
emdat-event-2017-0465-THA,2017-10-10T00:00:00Z,Flood (General) in Thailand,nat-hyd-flo-flo,THA,emdat-events
emdat-event-2017-0463-CHN,2017-10-01T00:00:00Z,Flood (General) in China,nat-hyd-flo-flo,CHN,emdat-events
emdat-event-2017-0398-CHN,2017-09-24T00:00:00Z,Flood (General) in China,nat-hyd-flo-flo,CHN,emdat-events
emdat-event-2017-0364-IND,2017-08-29T00:00:00Z,Flash flood in India,nat-hyd-flo-fla,IND,emdat-events
emdat-event-2017-0517-IND,2017-08-16T00:00:00Z,Flood (General) in India,nat-hyd-flo-flo,IND,emdat-events
emdat-event-2017-0476-CHN,2017-08-11T00:00:00Z,Flood (General) in China,nat-hyd-flo-flo,CHN,emdat-events
emdat-event-2017-0342-IND,2017-08-11T00:00:00Z,Flood (General) in India,nat-hyd-flo-flo,IND,emdat-events
emdat-event-2017-0472-IRN,2017-08-10T00:00:00Z,Flash flood in Iran (Islamic Republic of),nat-hyd-flo-fla,IRN,emdat-events
emdat-event-2017-0342-NPL,2017-08-10T00:00:00Z,Flood (General) in Nepal,nat-hyd-flo-flo,NPL,emdat-events
emdat-event-2017-0342-BGD,2017-08-10T00:00:00Z,Flood (General) in Bangladesh,nat-hyd-flo-flo,BGD,emdat-events
emdat-event-2017-0372-CHN,2017-08-08T00:00:00Z,Flood (General) in China,nat-hyd-flo-flo,CHN,emdat-events
emdat-event-2017-0288-AFG,2017-07-17T00:00:00Z,Flood (General) in Afghanistan,nat-hyd-flo-flo,AFG,emdat-events
emdat-event-2017-0264-CHN,2017-07-08T00:00:00Z,Flood (General) in China,nat-hyd-flo-flo,CHN,emdat-events
emdat-event-2017-0316-THA,2017-07-05T00:00:00Z,Flood (General) in Thailand,nat-hyd-flo-flo,THA,emdat-events
emdat-event-2017-0311-MMR,2017-07-02T00:00:00Z,Riverine flood in Myanmar,nat-hyd-flo-riv,MMR,emdat-events
emdat-event-2017-0290-IND,2017-07-01T00:00:00Z,Flood (General) in India,nat-hyd-flo-flo,IND,emdat-events
emdat-event-2017-0321-NPL,2017-06-30T00:00:00Z,Flood (General) in Nepal,nat-hyd-flo-flo,NPL,emdat-events
emdat-event-2017-0243-PAK,2017-06-26T00:00:00Z,Flash flood in Pakistan,nat-hyd-flo-fla,PAK,emdat-events
emdat-event-2017-0289-IND,2017-06-25T00:00:00Z,Riverine flood in India,nat-hyd-flo-riv,IND,emdat-events
emdat-event-2017-0245-CHN,2017-06-22T00:00:00Z,Flood (General) in China,nat-hyd-flo-flo,CHN,emdat-events
emdat-event-2017-0187-CHN,2017-06-15T00:00:00Z,Riverine flood in China,nat-hyd-flo-riv,CHN,emdat-events
emdat-event-2017-0254-CHN,2017-06-08T00:00:00Z,Flood (General) in China,nat-hyd-flo-flo,CHN,emdat-events
emdat-event-2017-0180-IND,2017-06-04T00:00:00Z,Flood (General) in India,nat-hyd-flo-flo,IND,emdat-events
emdat-event-2017-0294-IND,2017-06-01T00:00:00Z,Flood (General) in India,nat-hyd-flo-flo,IND,emdat-events
emdat-event-2017-0257-IND,2017-06-01T00:00:00Z,Flood (General) in India,nat-hyd-flo-flo,IND,emdat-events
emdat-event-2017-0169-CHN,2017-05-31T00:00:00Z,Riverine flood in China,nat-hyd-flo-riv,CHN,emdat-events
emdat-event-2017-0153-LKA,2017-05-25T00:00:00Z,Flood (General) in Sri Lanka,nat-hyd-flo-flo,LKA,emdat-events
emdat-event-2017-0138-BGD,2017-03-28T00:00:00Z,Riverine flood in Bangladesh,nat-hyd-flo-riv,BGD,emdat-events
emdat-event-2017-0045-PAK,2017-01-17T00:00:00Z,Flood (General) in Pakistan,nat-hyd-flo-flo,PAK,emdat-events
glide-event-FL-2017-000108-BGD,2017-08-14T00:00:00Z,,nat-hyd-flo-flo;FL,BGD,glide-events
glide-event-FL-2017-000107-NPL,2017-08-14T00:00:00Z,,nat-hyd-flo-flo;FL,NPL,glide-events
glide-event-FF-2017-000150-AFG,2017-07-18T00:00:00Z,,nat-hyd-flo-fla;FF,AFG,glide-events
glide-event-FL-2017-000084-IND,2017-07-14T00:00:00Z,,nat-hyd-flo-flo;FL,IND,glide-events
glide-event-FL-2017-000091-MMR,2017-07-05T00:00:00Z,,nat-hyd-flo-flo;FL,MMR,glide-events
glide-event-FL-2017-000115-PAK,2017-06-30T00:00:00Z,,nat-hyd-flo-flo;FL,PAK,glide-events
glide-event-FL-2017-000064-IND,2017-06-04T00:00:00Z,,nat-hyd-flo-flo;FL,IND,glide-events
glide-event-FL-2017-000057-LKA,2017-05-26T00:00:00Z,,nat-hyd-flo-flo;FL,LKA,glide-events
glide-event-FL-2017-000046-BGD,2017-03-28T00:00:00Z,,nat-hyd-flo-flo;FL,BGD,glide-events
glide-event-FL-2017-000017-PAK,2017-01-17T00:00:00Z,,nat-hyd-flo-flo;FL,PAK,glide-events
glide-event-FL-2017-000004-THA,2017-01-09T00:00:00Z,,nat-hyd-flo-flo;FL,THA,glide-events
