id,collection,datetime,title,country_codes,hazard_codes,impact_category,impact_type,impact_value,impact_unit,standardized_value,estimate_type,description
emdat-impact-2020-0222-ETH-total_deaths,emdat-impacts,2020-05-28T00:00:00Z,Landslide (wet) in Ethiopia - total_deaths,ETH,nat-hyd-mmw-lan,people,death,10.0,count,,primary,
emdat-impact-2020-0221-OMN-total_deaths,emdat-impacts,2020-05-27T00:00:00Z,Flood (General) in Oman - total_deaths,OMN,nat-hyd-flo-flo,people,death,3.0,count,,primary,
emdat-impact-2020-0220-IND-total_deaths,emdat-impacts,2020-05-27T00:00:00Z,Landslide (wet) in India - total_deaths,IND,nat-hyd-mmw-lan,people,death,21.0,count,,primary,
emdat-impact-2020-0206-IND-total_deaths,emdat-impacts,2020-05-24T00:00:00Z,Flood (General) in India - total_deaths,IND,nat-hyd-flo-flo,people,death,1.0,count,,primary,
emdat-impact-2020-0245-IDN-total_deaths,emdat-impacts,2020-05-22T00:00:00Z,Flash flood in Indonesia - total_deaths,IDN,nat-hyd-flo-fla,people,death,4.0,count,,primary,
emdat-impact-2020-0322-CHN-total_deaths,emdat-impacts,2020-05-21T00:00:00Z,Flood (General) in China - total_deaths,CHN,nat-hyd-flo-flo,people,death,280.0,count,,primary,
emdat-impact-2020-0213-UGA-total_deaths,emdat-impacts,2020-05-21T00:00:00Z,Riverine flood in Uganda - total_deaths,UGA,nat-hyd-flo-riv,people,death,11.0,count,,primary,
emdat-impact-2020-0583-USA-total_deaths,emdat-impacts,2020-05-20T00:00:00Z,Severe weather in United States of America - total_deaths,USA,nat-met-sto-sev,people,death,2.0,count,,primary,
emdat-impact-2020-0211-IND-total_deaths,emdat-impacts,2020-05-20T00:00:00Z,Storm (Tropical cyclone) in India of May 2020 - total_deaths,IND,nat-met-sto-tro,people,death,90.0,count,,primary,
emdat-impact-2020-0211-BGD-total_deaths,emdat-impacts,2020-05-20T00:00:00Z,Storm (Tropical cyclone) in Bangladesh of May 2020 - total_deaths,BGD,nat-met-sto-tro,people,death,26.0,count,,primary,
emdat-impact-2020-0244-CHN-total_deaths,emdat-impacts,2020-05-18T00:00:00Z,Ground movement in China - total_deaths,CHN,nat-geo-ear-gro,people,death,4.0,count,,primary,
emdat-impact-2020-0212-USA-total_deaths,emdat-impacts,2020-05-17T00:00:00Z,Flood (General) in United States of America - total_deaths,USA,nat-hyd-flo-flo,people,death,1.0,count,,primary,
emdat-impact-2020-0211-LKA-total_deaths,emdat-impacts,2020-05-17T00:00:00Z,Storm (Tropical cyclone) in Sri Lanka of May 2020 - total_deaths,LKA,nat-met-sto-tro,people,death,4.0,count,,primary,
emdat-impact-2020-0203-PHL-total_deaths,emdat-impacts,2020-05-15T00:00:00Z,Storm (Tropical cyclone) in Philippines of May 2020 - total_deaths,PHL,nat-met-sto-tro,people,death,5.0,count,,primary,
emdat-impact-2020-0527-TJK-total_deaths,emdat-impacts,2020-05-14T00:00:00Z,Flood (General) in Tajikistan - total_deaths,TJK,nat-hyd-flo-flo,people,death,2.0,count,,primary,
emdat-impact-2020-0198-IND-total_deaths,emdat-impacts,2020-05-10T00:00:00Z,Flood (General) in India - total_deaths,IND,nat-hyd-flo-flo,people,death,29.0,count,,primary,
emdat-impact-2020-0240-ETH-total_deaths,emdat-impacts,2020-05-09T00:00:00Z,Landslide (wet) in Ethiopia - total_deaths,ETH,nat-hyd-mmw-lan,people,death,12.0,count,,primary,
emdat-impact-2020-0183-GTM-total_deaths,emdat-impacts,2020-05-09T00:00:00Z,Flood (General) in Guatemala - total_deaths,GTM,nat-hyd-flo-flo,people,death,3.0,count,,primary,
emdat-impact-2020-0185-IDN-total_deaths,emdat-impacts,2020-05-08T00:00:00Z,Flood (General) in Indonesia - total_deaths,IDN,nat-hyd-flo-flo,people,death,7.0,count,,primary,
emdat-impact-2020-0182-UGA-total_deaths,emdat-impacts,2020-05-08T00:00:00Z,Flash flood in Uganda - total_deaths,UGA,nat-hyd-flo-fla,people,death,3.0,count,,primary,
emdat-impact-2020-0238-USA-total_deaths,emdat-impacts,2020-05-02T00:00:00Z,Severe weather in United States of America - total_deaths,USA,nat-met-sto-sev,people,death,2.0,count,,primary,
emdat-impact-2020-0153-AFG-total_deaths,emdat-impacts,2020-05-02T00:00:00Z,Flash flood in Afghanistan - total_deaths,AFG,nat-hyd-flo-fla,people,death,4.0,count,,primary,
emdat-impact-2020-0241-CHN-total_deaths,emdat-impacts,2020-05-01T00:00:00Z,Severe weather in China - total_deaths,CHN,nat-met-sto-sev,people,death,20.0,count,,primary,
emdat-impact-2020-0157-UZB-total_deaths,emdat-impacts,2020-05-01T00:00:00Z,Flood (General) in Uzbekistan - total_deaths,UZB,nat-hyd-flo-flo,people,death,4.0,count,,primary,
emdat-impact-2020-0156-RWA-total_deaths,emdat-impacts,2020-05-01T00:00:00Z,Flood (General) in Rwanda - total_deaths,RWA,nat-hyd-flo-flo,people,death,8.0,count,,primary,
emdat-impact-2020-0151-IDN-total_deaths,emdat-impacts,2020-04-30T00:00:00Z,Flood (General) in Indonesia - total_deaths,IDN,nat-hyd-flo-flo,people,death,2.0,count,,primary,
emdat-impact-2020-0199-THA-total_deaths,emdat-impacts,2020-04-29T00:00:00Z,Severe weather in Thailand - total_deaths,THA,nat-met-sto-sev,people,death,2.0,count,,primary,
emdat-impact-2020-0191-CAN-total_deaths,emdat-impacts,2020-04-26T00:00:00Z,Riverine flood in Canada - total_deaths,CAN,nat-hyd-flo-riv,people,death,1.0,count,,primary,
emdat-impact-2020-0166-TZA-total_deaths,emdat-impacts,2020-04-22T00:00:00Z,Flood (General) in United Republic of Tanzania - total_deaths,TZA,nat-hyd-flo-flo,people,death,2.0,count,,primary,
emdat-impact-2020-0165-VNM-total_deaths,emdat-impacts,2020-04-22T00:00:00Z,Lightning/Thunderstorms in Viet Nam - total_deaths,VNM,nat-met-sto-lig,people,death,3.0,count,,primary,
emdat-impact-2020-0167-USA-total_deaths,emdat-impacts,2020-04-21T00:00:00Z,Tornado in United States of America - total_deaths,USA,nat-met-sto-tor,people,death,3.0,count,,primary,
emdat-impact-2020-0159-SOM-total_deaths,emdat-impacts,2020-04-20T00:00:00Z,Flood (General) in Somalia - total_deaths,SOM,nat-hyd-flo-flo,people,death,26.0,count,,primary,
emdat-impact-2020-0159-ETH-total_deaths,emdat-impacts,2020-04-20T00:00:00Z,Flood (General) in Ethiopia - total_deaths,ETH,nat-hyd-flo-flo,people,death,12.0,count,,primary,
emdat-impact-2020-0150-DJI-total_deaths,emdat-impacts,2020-04-20T00:00:00Z,Flood (General) in Djibouti - total_deaths,DJI,nat-hyd-flo-flo,people,death,8.0,count,,primary,
emdat-impact-2020-0173-AGO-total_deaths,emdat-impacts,2020-04-18T00:00:00Z,Flash flood in Angola - total_deaths,AGO,nat-hyd-flo-fla,people,death,30.0,count,,primary,
emdat-impact-2020-0164-KEN-total_deaths,emdat-impacts,2020-04-18T00:00:00Z,Flood (General) in Kenya - total_deaths,KEN,nat-hyd-flo-flo,people,death,285.0,count,,primary,
emdat-impact-2020-0188-RWA-total_deaths,emdat-impacts,2020-04-17T00:00:00Z,Flash flood in Rwanda - total_deaths,RWA,nat-hyd-flo-fla,people,death,72.0,count,,primary,
emdat-impact-2020-0171-RWA-total_deaths,emdat-impacts,2020-04-17T00:00:00Z,Flood (General) in Rwanda - total_deaths,RWA,nat-hyd-flo-flo,people,death,9.0,count,,primary,
emdat-impact-2020-0164-UGA-total_deaths,emdat-impacts,2020-04-17T00:00:00Z,Flood (General) in Uganda - total_deaths,UGA,nat-hyd-flo-flo,people,death,5.0,count,,primary,
emdat-impact-2020-0175-COD-total_deaths,emdat-impacts,2020-04-16T00:00:00Z,Flood (General) in Democratic Republic of the Congo - total_deaths,COD,nat-hyd-flo-flo,people,death,52.0,count,,primary,
emdat-impact-2020-0168-YEM-total_deaths,emdat-impacts,2020-04-15T00:00:00Z,Flash flood in Yemen - total_deaths,YEM,nat-hyd-flo-fla,people,death,10.0,count,,primary,
emdat-impact-2020-0142-AFG-total_deaths,emdat-impacts,2020-04-13T00:00:00Z,Flood (General) in Afghanistan - total_deaths,AFG,nat-hyd-flo-flo,people,death,5.0,count,,primary,
emdat-impact-2020-0148-USA-total_deaths,emdat-impacts,2020-04-10T00:00:00Z,Tornado in United States of America - total_deaths,USA,nat-met-sto-tor,people,death,38.0,count,,primary,
emdat-impact-2020-0146-PNG-total_deaths,emdat-impacts,2020-04-10T00:00:00Z,Landslide (wet) in Papua New Guinea - total_deaths,PNG,nat-hyd-mmw-lan,people,death,10.0,count,,primary,
emdat-impact-2020-0142-IRN-total_deaths,emdat-impacts,2020-04-10T00:00:00Z,Flood (General) in Iran (Islamic Republic of) - total_deaths,IRN,nat-hyd-flo-flo,people,death,8.0,count,,primary,
emdat-impact-2020-0132-FJI-total_deaths,emdat-impacts,2020-04-08T00:00:00Z,Storm (Tropical cyclone) in Fiji of April 2020 - total_deaths,FJI,nat-met-sto-tro,people,death,1.0,count,,primary,
emdat-impact-2020-0132-VUT-total_deaths,emdat-impacts,2020-04-06T00:00:00Z,Storm (Tropical cyclone) in Vanuatu of April 2020 - total_deaths,VUT,nat-met-sto-tro,people,death,3.0,count,,primary,
emdat-impact-2020-0134-IDN-total_deaths,emdat-impacts,2020-04-04T00:00:00Z,Flash flood in Indonesia - total_deaths,IDN,nat-hyd-flo-fla,people,death,4.0,count,,primary,
emdat-impact-2020-0132-SLB-total_deaths,emdat-impacts,2020-04-02T00:00:00Z,Storm (Tropical cyclone) in Solomon Islands of April 2020 - total_deaths,SLB,nat-met-sto-tro,people,death,48.0,count,,primary,
emdat-impact-2020-0133-PAK-total_deaths,emdat-impacts,2020-03-31T00:00:00Z,Flood (General) in Pakistan - total_deaths,PAK,nat-hyd-flo-flo,people,death,24.0,count,,primary,
emdat-impact-2020-0125-COG-total_deaths,emdat-impacts,2020-03-30T00:00:00Z,Flood (General) in Congo - total_deaths,COG,nat-hyd-flo-flo,people,death,20.0,count,,primary,
emdat-impact-2020-0119-CHN-total_deaths,emdat-impacts,2020-03-30T00:00:00Z,Forest fire in China - total_deaths,CHN,nat-cli-wil-for,people,death,19.0,count,,primary,
emdat-impact-2020-0121-IDN-total_deaths,emdat-impacts,2020-03-29T00:00:00Z,Flood (General) in Indonesia - total_deaths,IDN,nat-hyd-flo-flo,people,death,1.0,count,,primary,
emdat-impact-2020-0124-AFG-total_deaths,emdat-impacts,2020-03-28T00:00:00Z,Flash flood in Afghanistan - total_deaths,AFG,nat-hyd-flo-fla,people,death,56.0,count,,primary,
emdat-impact-2020-0108-YEM-total_deaths,emdat-impacts,2020-03-25T00:00:00Z,Flash flood in Yemen - total_deaths,YEM,nat-hyd-flo-fla,people,death,2.0,count,,primary,
emdat-impact-2020-0106-HRV-total_deaths,emdat-impacts,2020-03-22T00:00:00Z,Ground movement in Croatia - total_deaths,HRV,nat-geo-ear-gro,people,death,1.0,count,,primary,
emdat-impact-2020-0111-PNG-total_deaths,emdat-impacts,2020-03-21T00:00:00Z,Flood (General) in Papua New Guinea - total_deaths,PNG,nat-hyd-flo-flo,people,death,12.0,count,,primary,
emdat-impact-2020-0116-IRQ-total_deaths,emdat-impacts,2020-03-18T00:00:00Z,Flood (General) in Iraq - total_deaths,IRQ,nat-hyd-flo-flo,people,death,8.0,count,,primary,
emdat-impact-2020-0109-BDI-total_deaths,emdat-impacts,2020-03-16T00:00:00Z,Lightning/Thunderstorms in Burundi - total_deaths,BDI,nat-met-sto-lig,people,death,2.0,count,,primary,
emdat-impact-2020-0104-AGO-total_deaths,emdat-impacts,2020-03-16T00:00:00Z,Flood (General) in Angola - total_deaths,AGO,nat-hyd-flo-flo,people,death,3.0,count,,primary,
emdat-impact-2020-0131-TLS-total_deaths,emdat-impacts,2020-03-13T00:00:00Z,Riverine flood in Timor-Leste - total_deaths,TLS,nat-hyd-flo-riv,people,death,3.0,count,,primary,
emdat-impact-2020-0103-MDG-total_deaths,emdat-impacts,2020-03-13T00:00:00Z,Storm (Tropical cyclone) in Madagascar of March 2020 - total_deaths,MDG,nat-met-sto-tro,people,death,4.0,count,,primary,
emdat-impact-2020-0102-EGY-total_deaths,emdat-impacts,2020-03-11T00:00:00Z,Flash flood in Egypt - total_deaths,EGY,nat-hyd-flo-fla,people,death,40.0,count,,primary,
emdat-impact-2020-0095-PAK-total_deaths,emdat-impacts,2020-03-04T00:00:00Z,Flash flood in Pakistan - total_deaths,PAK,nat-hyd-flo-fla,people,death,66.0,count,,primary,
emdat-impact-2020-0086-IDN-total_deaths,emdat-impacts,2020-03-04T00:00:00Z,Flash flood in Indonesia - total_deaths,IDN,nat-hyd-flo-fla,people,death,2.0,count,,primary,
emdat-impact-2020-0098-RWA-total_deaths,emdat-impacts,2020-03-02T00:00:00Z,Flood (General) in Rwanda - total_deaths,RWA,nat-hyd-flo-flo,people,death,3.0,count,,primary,
emdat-impact-2020-0088-VNM-total_deaths,emdat-impacts,2020-03-02T00:00:00Z,Extra-tropical storm in Viet Nam - total_deaths,VNM,nat-met-sto-ext,people,death,5.0,count,,primary,
emdat-impact-2020-0083-BRA-total_deaths,emdat-impacts,2020-03-02T00:00:00Z,Flood (General) in Brazil - total_deaths,BRA,nat-hyd-flo-flo,people,death,60.0,count,,primary,
emdat-impact-2020-0082-USA-total_deaths,emdat-impacts,2020-03-02T00:00:00Z,Tornado in United States of America - total_deaths,USA,nat-met-sto-tor,people,death,25.0,count,,primary,
emdat-impact-2020-0077-BRA-total_deaths,emdat-impacts,2020-02-29T00:00:00Z,Flood (General) in Brazil - total_deaths,BRA,nat-hyd-flo-flo,people,death,4.0,count,,primary,
emdat-impact-2020-0075-HND-total_deaths,emdat-impacts,2020-02-28T00:00:00Z,Flood (General) in Honduras - total_deaths,HND,nat-hyd-flo-flo,people,death,3.0,count,,primary,
emdat-impact-2020-0071-COL-total_deaths,emdat-impacts,2020-02-26T00:00:00Z,Flash flood in Colombia - total_deaths,COL,nat-hyd-flo-fla,people,death,14.0,count,,primary,
emdat-impact-2020-0068-IDN-total_deaths,emdat-impacts,2020-02-26T00:00:00Z,Flood (General) in Indonesia - total_deaths,IDN,nat-hyd-flo-flo,people,death,10.0,count,,primary,
emdat-impact-2020-0118-IRN-total_deaths,emdat-impacts,2020-02-24T00:00:00Z,Flood (General) in Iran (Islamic Republic of) - total_deaths,IRN,nat-hyd-flo-flo,people,death,21.0,count,,primary,
emdat-impact-2020-0073-TUR-total_deaths,emdat-impacts,2020-02-23T00:00:00Z,Ground movement in Türkiye - total_deaths,TUR,nat-geo-ear-gro,people,death,9.0,count,,primary,
emdat-impact-2020-0070-PER-total_deaths,emdat-impacts,2020-02-23T00:00:00Z,Mudslide in Peru - total_deaths,PER,nat-hyd-mmw-mud,people,death,15.0,count,,primary,
emdat-impact-2020-0094-PER-total_deaths,emdat-impacts,2020-02-17T00:00:00Z,Flash flood in Peru - total_deaths,PER,nat-hyd-flo-fla,people,death,15.0,count,,primary,
emdat-impact-2020-0063-AFG-total_deaths,emdat-impacts,2020-02-13T00:00:00Z,Avalanche (wet) in Afghanistan - total_deaths,AFG,nat-hyd-mmw-ava,people,death,22.0,count,,primary,
emdat-impact-2020-0059-IDN-total_deaths,emdat-impacts,2020-02-13T00:00:00Z,Flood (General) in Indonesia - total_deaths,IDN,nat-hyd-flo-flo,people,death,6.0,count,,primary,
emdat-impact-2020-0058-BOL-total_deaths,emdat-impacts,2020-02-13T00:00:00Z,Flood (General) in Bolivia (Plurinational State of) - total_deaths,BOL,nat-hyd-flo-flo,people,death,8.0,count,,primary,
