id,datetime,title,hazard_codes,primary_country,collection
emdat-event-2023-0417-CHN,2023-07-02T00:00:00Z,Flood (General) in China,nat-hyd-flo-flo,CHN,emdat-events
emdat-event-2023-0359-IND,2023-06-26T00:00:00Z,Flash flood in India,nat-hyd-flo-fla,IND,emdat-events
emdat-event-2023-0428-PAK,2023-06-25T00:00:00Z,Flood (General) in Pakistan,nat-hyd-flo-flo,PAK,emdat-events
emdat-event-2023-0428-IND,2023-06-25T00:00:00Z,Flood (General) in India,nat-hyd-flo-flo,IND,emdat-events
emdat-event-2023-0326-NPL,2023-06-15T00:00:00Z,Flood (General) in Nepal,nat-hyd-flo-flo,NPL,emdat-events
emdat-event-2023-0330-IND,2023-06-14T00:00:00Z,Flood (General) in India,nat-hyd-flo-flo,IND,emdat-events
emdat-event-2023-0354-PAK,2023-06-10T00:00:00Z,Flood (General) in Pakistan,nat-hyd-flo-flo,PAK,emdat-events
emdat-event-2023-0341-CHN,2023-06-01T00:00:00Z,Flood (General) in China,nat-hyd-flo-flo,CHN,emdat-events
emdat-event-2023-0291-AFG,2023-05-05T00:00:00Z,Flash flood in Afghanistan,nat-hyd-flo-fla,AFG,emdat-events
emdat-event-2023-0285-CHN,2023-05-05T00:00:00Z,Flood (General) in China,nat-hyd-flo-flo,CHN,emdat-events
emdat-event-2023-0266-PAK,2023-04-29T00:00:00Z,Flash flood in Pakistan,nat-hyd-flo-fla,PAK,emdat-events
emdat-event-2023-0173-PAK,2023-03-25T00:00:00Z,Flood (General) in Pakistan,nat-hyd-flo-flo,PAK,emdat-events
emdat-event-2023-0208-PAK,2023-03-24T00:00:00Z,Flood (General) in Pakistan,nat-hyd-flo-flo,PAK,emdat-events
emdat-event-2023-0159-PAK,2023-03-17T00:00:00Z,Flash flood in Pakistan,nat-hyd-flo-fla,PAK,emdat-events
emdat-event-2023-0120-MYS,2023-02-28T00:00:00Z,Flood (General) in Malaysia,nat-hyd-flo-flo,MYS,emdat-events
